"asin","product_title","average_rating","total_reviews","review_author","author_badge","badge","reviewed_product_attribute","reviewed_variant_asin","variant_review_url","review_rating","review_date","reviewed_country","review_text","review_comment_count","review_header","no_of_people_reacted_helpful","author_profile_url","url","brand","review_url","input"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","AIRecording","","Verified Purchase","Color: Black | Style: Portal","B07XPDYRRJ","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","January 07, 2021","United States","This portal has been a nice stopgap measure to interact with my father while his assisted living community is in quarantine and we aren't allowed to visit. He likes the picture frame function and he also finds it easy to talk to use using the portal with video calls once he figures out how to answer the call. I'm glad I got this for him.","","Got this for my dad while he is in quarantine","","https://www.amazon.com/gp/profile/amzn1.account.AHH3Q5TTGYKGU6P3BOJAB5GT2FUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=23&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/R3Q538GZWQZUBI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","Ebony Dixon","","Verified Purchase","Color: Black | Style: Portal","B07XPDYRRJ","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","November 03, 2019","United States","Love it","","Just be careful with it","","https://www.amazon.com/gp/profile/amzn1.account.AGPON6EVCRNEBVRKMKAUTE7NWW2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=84&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/R2Z3YDSYAU1ZAF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","Crystal Thronesbery","","Verified Purchase","Color: Black | Style: Portal TV","B07XPLJ9TZ","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07XPLJ9TZ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","December 29, 2020","United States","Works better than I would have thought. Call quality is pretty good so long as the other person has a good internet speed. So far everyone we have chatted with has not had a portal device, they've just been using their phones, tablets, and laptops. The storytime and photo booth have been an added bonus for entertaining or son during this pandemic. We celebrated the holidays over Facebook calls and it went really well!","","Awesome","","https://www.amazon.com/gp/profile/amzn1.account.AGWH4PV46CMYPWFCAIH2CO6TFISQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=26&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/R36R7A8HN1KLS0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","David B. Nesbitt Jr.","","Verified Purchase","Color: Black | Style: Portal TV","B07XPLJ9TZ","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07XPLJ9TZ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","1.0","December 31, 2020","United States","Product worked once, then started malfunctioning. It kept disconnecting and reconnecting to the internet (nothing was wrong with the connection) and when it would make a call it wouldn’t show up on the other end. The device also got very hot, it worked better when it was disconnected and had a chance to cool for awhile. The first couple times that it did work, my screen was very grainy for others but they saw me clearly.","","Malfunctioned","","https://www.amazon.com/gp/profile/amzn1.account.AED6UQHL5TBLWHIKFWJT2PFXSKBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=25&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/R3J2K0KKU98QQM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","JL","","Verified Purchase","Color: Black | Style: Portal TV","B07XPLJ9TZ","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07XPLJ9TZ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","3.0","December 16, 2019","United States","The Portal TV product idea is great - truly ground braking for families. The problem is execution. We bought the Portal TV in order to be closer to the grand parents. Using cell phone based video calling is kind of awkward. You are holding the cell phone in your hand constantly thinking about where the camera is facing. Your'e running around a toddler trying to make sure that she is focused on the picture. The picture on the cell phone is so small that the toddler isnt interested in it for a long time. Portal TV seemed to solve all of these issues. The idea of just lounging on your sofa and seeing the other end in a huge 65 inch picture seemed great. The toddler will see grandma super well. The camera tracking would follow the child in case she is running around. What could be better? The Portal TV does deliver. On the video side. Its a major game changer. I would not go back to cell phone based video calling, unless I absolutely have to. The problem, rather surprisingly, is audio. Portal TV doesnt deliver a full duplex experience where both parties here each others all the time. For whatever reason, Portal TV missed syllables and even whole words. Its difficult to understand what the other end is saying. Disappointing, given that the video part is so good. Not much point doing video calling, if you cant understand what the other end is saying.","","Poor audio quality","4","https://www.amazon.com/gp/profile/amzn1.account.AGOAR4EFSPJAALNDR2KK24VYEGRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=78&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/R28LF33ETJ4SSA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","nursie","","Verified Purchase","Color: Black | Style: Portal Plus","B07HFWG8S4","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07HFWG8S4/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","May 18, 2019","United States","Love this !! I bought the small one for my mom, we talk all the time..","","Works great","","https://www.amazon.com/gp/profile/amzn1.account.AER2VDY6TF4QD5F4VSOZOEHR3VLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=90&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/R3AJE6PSBABEHR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","Kevin","","","Color: Black | Style: Portal TV","B07XPLJ9TZ","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07XPLJ9TZ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","1.0","January 01, 2021","United States","As if amazon and FB wasnt recording enough of my data online and selling it to 3rd parties money - i decided to put a camera and microphone in every room, 8 more in my car, and then decided they should really be recording what everyone is watching on tv, recording all the conversations in the room, and searching my home with cameras for products found in the house. I decided that instead of opening my own online voyer cam site, and changing people to watch everything we do here, that i would buy this stuff, let them sell all the info it collects, and then complain about we have no privacy. So while all my personal info gets sold to anyone willing to pay, who will ultimately bear no responsibility to what is done with it or who has access to it - in a few years ill find out that access to all the cams and mics in my home were sold on the dark web so someone could watch me and my family in real time. I will then blame everyone else except the person who bought all the stuff and volunteered to put it in my own house - and completely ignore the 600 million dollar contract the CIA has with Amazon. Cause ya know, theyve both demonstrated how trustworthy they are.","","I wanted all of my family’s conversations to be recorded and sold - so i got this.","","https://www.amazon.com/gp/profile/amzn1.account.AEVNB2XOXKDQHXUVCHS3HQXQWOAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=25&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/R20F0GCI2GV8NF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","DD_in_the_City","","Verified Purchase","Color: White | Style: Portal","B07XPS5W3L","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07XPS5W3L/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","February 11, 2020","United States","This is amazing","","Amazing","","https://www.amazon.com/gp/profile/amzn1.account.AEWM33M6BNYNEE666QI2BRYFPZSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=61&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/R1R4XL3J3608TV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","Vistamom","","Verified Purchase","Color: Black | Style: Portal TV","B07XPLJ9TZ","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07XPLJ9TZ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","February 08, 2021","United States","My daughter gave us a portal for Christmas and I promptly bought one for her too! It is great being able to see ea h other clearly when we chat using our big screen TVs. The sound is good and it was super easy to set up. Made our first call in about 15 minutes. Now other members of our family have them so we can all get in the conversation so easily.","","Easy to set up and use.","1","https://www.amazon.com/gp/profile/amzn1.account.AEWUW2YMJWYXEVQE7DPEEWGNFB3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=15&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/R3UCC3EDFAMRFU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","JG","","Verified Purchase","Color: Black | Style: Portal Plus","B07HFWG8S4","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07HFWG8S4/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","April 05, 2021","United States","Really impressive. Easy to use for my 75 year old parents, excellent quality, and the AI in the camera allows them all to be in the room and get on screen! Love it","","Very easy to use for video calls","","https://www.amazon.com/gp/profile/amzn1.account.AGL7RVAIYSPANKMPIUB6O7JQAJOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=6&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/R1NE8GG1X9X8ZV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
